num_samples,voting_threshold,rounds,input_size,hidden_sizes,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,187,309,1298,0.6904453935517894,0.6657322425293996,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,188,309,1298,0.6902014740443856,0.6667968315753688,30,20,0,50,0.8,0.7142857142857143,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,189,309,1298,0.6905631031736562,0.6671128720339838,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,190,309,1298,0.6907372780405058,0.6668173054837425,30,20,0,50,0.8,0.7142857142857143,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,191,309,1298,0.6905906352021225,0.6680520970088563,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,192,309,1298,0.6908100795004037,0.6668633992984907,30,20,0,50,0.8,0.7142857142857143,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,193,309,1298,0.6907376107915709,0.6658776096785566,29,21,0,50,0.79,0.704225352112676,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,194,309,1298,0.6905557530963875,0.6661887022078489,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,195,309,1298,0.6906892539679538,0.6658968785190231,27,23,0,50,0.77,0.684931506849315,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,196,309,1298,0.6904372509601133,0.6662199179019392,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,197,309,1298,0.6908636950124365,0.6658002380776353,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,198,309,1298,0.690613507516618,0.6653630679772542,42,8,0,50,0.92,0.8620689655172413,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,199,309,1298,0.6902228632162237,0.6658948470331436,29,21,0,50,0.79,0.704225352112676,1.0
