num_samples,n_estimators,rounds,input_size,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,0,309,1298,0.543136704882272,0.7148239109090919,100,65,64,101,0.6090909090909091,0.608433734939759,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,1,309,1298,0.543136704882272,0.7148239120786923,92,73,52,113,0.6212121212121212,0.6075268817204301,0.6848484848484848
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,2,309,1298,0.543136704882272,0.7148238828174784,100,65,62,103,0.6151515151515151,0.6130952380952381,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,3,309,1298,0.543136704882272,0.714823936868842,97,68,59,106,0.6151515151515151,0.6091954022988506,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,4,309,1298,0.543136704882272,0.7148239203752673,97,68,63,102,0.603030303030303,0.6,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,5,309,1298,0.543136704882272,0.714823929202536,99,66,57,108,0.6272727272727273,0.6206896551724138,0.6545454545454545
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,6,309,1298,0.543136704882272,0.7148238998690195,85,80,65,100,0.5606060606060606,0.5555555555555556,0.6060606060606061
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,7,309,1298,0.543136704882272,0.7148239189390737,94,71,59,106,0.6060606060606061,0.5988700564971752,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,8,309,1298,0.543136704882272,0.714823928552802,89,76,61,104,0.5848484848484848,0.5777777777777777,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,9,309,1298,0.543136704882272,0.7148238953685376,88,77,56,109,0.5969696969696969,0.5860215053763441,0.6606060606060606
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,10,309,1298,0.543136704882272,0.7148238836775216,91,74,62,103,0.5878787878787879,0.5819209039548022,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,11,309,1298,0.543136704882272,0.7148239573826689,97,68,57,108,0.6212121212121212,0.6136363636363636,0.6545454545454545
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,12,309,1298,0.543136704882272,0.7148238865800767,90,75,56,109,0.603030303030303,0.592391304347826,0.6606060606060606
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,13,309,1298,0.543136704882272,0.7148239279190822,96,69,62,103,0.603030303030303,0.5988372093023255,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,14,309,1298,0.543136704882272,0.7148238877236314,95,70,64,101,0.593939393939394,0.5906432748538012,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,15,309,1298,0.543136704882272,0.7148239183850712,86,79,60,105,0.5787878787878787,0.5706521739130435,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,16,309,1298,0.543136704882272,0.7148238386016538,95,70,62,103,0.6,0.5953757225433526,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,17,309,1298,0.543136704882272,0.7148239478152091,96,69,59,106,0.6121212121212121,0.6057142857142858,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,18,309,1298,0.543136704882272,0.7148238524129651,96,69,67,98,0.5878787878787879,0.5868263473053892,0.593939393939394
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,19,309,1298,0.543136704882272,0.7148239081728296,90,75,57,108,0.6,0.5901639344262295,0.6545454545454545
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,20,309,1298,0.543136704882272,0.7148239496869364,97,68,59,106,0.6151515151515151,0.6091954022988506,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,21,309,1298,0.543136704882272,0.7148238663427776,88,77,60,105,0.5848484848484848,0.5769230769230769,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,22,309,1298,0.543136704882272,0.7148239069359865,91,74,64,101,0.5818181818181818,0.5771428571428572,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,23,309,1298,0.543136704882272,0.7148239059470363,90,75,61,104,0.5878787878787879,0.5810055865921788,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,24,309,1298,0.543136704882272,0.7148239067957449,96,69,62,103,0.603030303030303,0.5988372093023255,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,25,309,1298,0.543136704882272,0.7148238821535562,82,83,59,106,0.5696969696969697,0.5608465608465608,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,26,309,1298,0.543136704882272,0.7148239350682227,105,60,62,103,0.6303030303030303,0.6319018404907976,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,27,309,1298,0.543136704882272,0.714823942002076,89,76,52,113,0.6121212121212121,0.5978835978835979,0.6848484848484848
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,28,309,1298,0.543136704882272,0.7148239310511944,96,69,53,112,0.6303030303030303,0.6187845303867403,0.6787878787878788
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,29,309,1298,0.543136704882272,0.7148238719701114,90,75,62,103,0.5848484848484848,0.5786516853932584,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,30,309,1298,0.543136704882272,0.71482386991321,102,63,65,100,0.6121212121212121,0.6134969325153374,0.6060606060606061
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,31,309,1298,0.543136704882272,0.7148239377900742,95,70,54,111,0.6242424242424243,0.6132596685082873,0.6727272727272727
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,32,309,1298,0.543136704882272,0.714823881259274,100,65,61,104,0.6181818181818182,0.6153846153846154,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,33,309,1298,0.543136704882272,0.7148238703392505,100,65,63,102,0.6121212121212121,0.6107784431137725,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,34,309,1298,0.543136704882272,0.7148239339506475,95,70,60,105,0.6060606060606061,0.6,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,35,309,1298,0.543136704882272,0.7148238537547537,95,70,63,102,0.5969696969696969,0.5930232558139535,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,36,309,1298,0.543136704882272,0.7148239285550219,96,69,61,104,0.6060606060606061,0.6011560693641619,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,37,309,1298,0.543136704882272,0.7148238963366735,95,70,63,102,0.5969696969696969,0.5930232558139535,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,38,309,1298,0.543136704882272,0.7148239045184963,90,75,61,104,0.5878787878787879,0.5810055865921788,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,39,309,1298,0.543136704882272,0.7148239404946669,90,75,62,103,0.5848484848484848,0.5786516853932584,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,40,309,1298,0.543136704882272,0.7148239134690109,95,70,57,108,0.6151515151515151,0.6067415730337079,0.6545454545454545
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,41,309,1298,0.543136704882272,0.7148239017332905,91,74,58,107,0.6,0.5911602209944752,0.6484848484848484
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,42,309,1298,0.543136704882272,0.714823897320247,96,69,57,108,0.6181818181818182,0.6101694915254238,0.6545454545454545
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,43,309,1298,0.543136704882272,0.7148238873476589,101,64,56,109,0.6363636363636364,0.630057803468208,0.6606060606060606
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,44,309,1298,0.543136704882272,0.7148238659817596,91,74,60,105,0.593939393939394,0.5865921787709497,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,45,309,1298,0.543136704882272,0.7148239299381884,102,63,58,107,0.6333333333333333,0.6294117647058823,0.6484848484848484
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,46,309,1298,0.543136704882272,0.7148239077087628,89,76,58,107,0.593939393939394,0.5846994535519126,0.6484848484848484
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,47,309,1298,0.543136704882272,0.7148239111765972,96,69,60,105,0.6090909090909091,0.603448275862069,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,48,309,1298,0.543136704882272,0.7148238979652783,92,73,58,107,0.603030303030303,0.5944444444444444,0.6484848484848484
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.2,49,309,1298,0.543136704882272,0.7148238977938598,98,67,53,112,0.6363636363636364,0.6256983240223464,0.6787878787878788
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,0,309,1298,0.5354486447659949,0.7168447141562406,92,73,71,94,0.5636363636363636,0.562874251497006,0.5696969696969697
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,1,309,1298,0.5354486447659949,0.7168447707512103,87,78,65,100,0.5666666666666667,0.5617977528089888,0.6060606060606061
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,2,309,1298,0.5354486447659949,0.7168447330958875,93,72,67,98,0.5787878787878787,0.5764705882352941,0.593939393939394
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,3,309,1298,0.5354486447659949,0.716844719130853,85,80,60,105,0.5757575757575758,0.5675675675675675,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,4,309,1298,0.5354486447659949,0.7168447670035124,84,81,62,103,0.5666666666666667,0.5597826086956522,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,5,309,1298,0.5354486447659949,0.7168447416067831,88,77,67,98,0.5636363636363636,0.56,0.593939393939394
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,6,309,1298,0.5354486447659949,0.7168447481717284,81,84,60,105,0.5636363636363636,0.5555555555555556,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,7,309,1298,0.5354486447659949,0.7168447498299783,91,74,65,100,0.5787878787878787,0.5747126436781609,0.6060606060606061
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,8,309,1298,0.5354486447659949,0.7168447199159569,88,77,63,102,0.5757575757575758,0.5698324022346368,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,9,309,1298,0.5354486447659949,0.7168447277305572,88,77,63,102,0.5757575757575758,0.5698324022346368,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,10,309,1298,0.5354486447659949,0.7168447452463719,84,81,68,97,0.5484848484848485,0.5449438202247191,0.5878787878787879
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,11,309,1298,0.5354486447659949,0.7168447237914355,87,78,63,102,0.5727272727272728,0.5666666666666667,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,12,309,1298,0.5354486447659949,0.7168447502159145,87,78,67,98,0.5606060606060606,0.5568181818181818,0.593939393939394
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,13,309,1298,0.5354486447659949,0.7168447821337062,84,81,65,100,0.5575757575757576,0.5524861878453039,0.6060606060606061
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,14,309,1298,0.5354486447659949,0.7168447391202173,94,71,59,106,0.6060606060606061,0.5988700564971752,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,15,309,1298,0.5354486447659949,0.7168447200217904,87,78,69,96,0.5545454545454546,0.5517241379310345,0.5818181818181818
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,random subset,0.4,16,309,1298,0.5354486447659949,0.716844775120932,80,85,54,111,0.5787878787878787,0.5663265306122449,0.6727272727272727
