num_samples,n_estimators,rounds,input_size,hidden_sizes,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,35,309,1298,0.7084283764154484,0.6708939244538719,100,65,59,106,0.6242424242424243,0.6198830409356725,0.6424242424242425
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,36,309,1298,0.7084283764154484,0.6708939292078726,95,70,48,117,0.6424242424242425,0.6256684491978609,0.7090909090909091
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,37,309,1298,0.7084283764154484,0.6708939294347042,98,67,53,112,0.6363636363636364,0.6256983240223464,0.6787878787878788
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,38,309,1298,0.7084283764154484,0.6708938978099489,90,75,46,119,0.6333333333333333,0.6134020618556701,0.7212121212121212
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,39,309,1298,0.7084283764154484,0.6708938715378869,100,65,55,110,0.6363636363636364,0.6285714285714286,0.6666666666666666
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,40,309,1298,0.7084283764154484,0.6708939069671861,92,73,59,106,0.6,0.5921787709497207,0.6424242424242425
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,41,309,1298,0.7084283764154484,0.6708939014319586,89,76,48,117,0.6242424242424243,0.6062176165803109,0.7090909090909091
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,42,309,1298,0.7084283764154484,0.6708939158745696,92,73,52,113,0.6212121212121212,0.6075268817204301,0.6848484848484848
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,43,309,1298,0.7084283764154484,0.6708939062852276,97,68,48,117,0.6484848484848484,0.6324324324324324,0.7090909090909091
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,44,309,1298,0.7084283764154484,0.670893952670309,97,68,52,113,0.6363636363636364,0.6243093922651933,0.6848484848484848
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,45,309,1298,0.7084283764154484,0.6708939255701217,93,72,44,121,0.6484848484848484,0.6269430051813472,0.7333333333333333
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,46,309,1298,0.7084283764154484,0.6708939403593174,92,73,54,111,0.6151515151515151,0.6032608695652174,0.6727272727272727
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,47,309,1298,0.7084283764154484,0.6708939244565877,93,72,49,116,0.6333333333333333,0.6170212765957447,0.703030303030303
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,48,309,1298,0.7084283764154484,0.67089395079665,94,71,52,113,0.6272727272727273,0.6141304347826086,0.6848484848484848
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,49,309,1298,0.7084283764154484,0.6708939060662402,96,69,59,106,0.6121212121212121,0.6057142857142858,0.6424242424242425
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,50,309,1298,0.7084283764154484,0.6708938795927151,97,68,55,110,0.6272727272727273,0.6179775280898876,0.6666666666666666
500,100,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,51,309,1298,0.7084283764154484,0.6708939166078908,91,74,52,113,0.6181818181818182,0.6042780748663101,0.6848484848484848
