num_epochs,voting_threshold,rounds,input_size,hidden_sizes,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,pos_epochs_together,pos_epochs_left,p
30,0.2,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,1,309,1298,0.7041686991591124,0.6681071260312624,26,0,5.5996656722293246e-27
30,0.2,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,2,309,1298,0.7038976629447665,0.6677881911982159,0,0,1.0
