num_models,num_samples,attack_type,num_epochs,n_estimators,best_models,intermediate_models,rounds,input_size,batch_ratio,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,TN,FP,FN,TP,accuracy,precision,recall
6,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,0,95,70,60,105,0.6060606060606061,0.6,0.6363636363636364
6,500,rf,300,100,False,False,1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,0,96,69,57,108,0.6181818181818182,0.6101694915254238,0.6545454545454545
