num_samples,n_estimators,rounds,input_size,hidden_sizes,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,185,309,1298,0.6915955904421038,0.6666763233710521,104,61,64,101,0.6212121212121212,0.6234567901234568,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,186,309,1298,0.6915955904421038,0.6666763387585911,99,66,53,112,0.6393939393939394,0.6292134831460674,0.6787878787878788
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,187,309,1298,0.6915955904421038,0.6666763173453816,97,68,67,98,0.5909090909090909,0.5903614457831325,0.593939393939394
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,188,309,1298,0.6915955904421038,0.6666763231152659,96,69,58,107,0.6151515151515151,0.6079545454545454,0.6484848484848484
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,189,309,1298,0.6915955904421038,0.6666763188841307,94,71,55,110,0.6181818181818182,0.6077348066298343,0.6666666666666666
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,190,309,1298,0.6915955904421038,0.6666763386422065,99,66,60,105,0.6181818181818182,0.6140350877192983,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,191,309,1298,0.6915955904421038,0.6666763499695769,90,75,65,100,0.5757575757575758,0.5714285714285714,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,192,309,1298,0.6915955904421038,0.6666763678986826,95,70,65,100,0.5909090909090909,0.5882352941176471,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,193,309,1298,0.6915955904421038,0.6666763488331517,92,73,69,96,0.5696969696969697,0.5680473372781065,0.5818181818181818
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,194,309,1298,0.6915955904421038,0.6666763319038487,95,70,64,101,0.593939393939394,0.5906432748538012,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,195,309,1298,0.6915955904421038,0.6666763188711313,95,70,63,102,0.5969696969696969,0.5930232558139535,0.6181818181818182
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,196,309,1298,0.6915955904421038,0.6666763327952061,92,73,63,102,0.5878787878787879,0.5828571428571429,0.6181818181818182
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,197,309,1298,0.6915955904421038,0.6666762905671001,96,69,64,101,0.5969696969696969,0.5941176470588235,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,198,309,1298,0.6915955904421038,0.6666763323195022,105,60,66,99,0.6181818181818182,0.6226415094339622,0.6
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,199,309,1298,0.6915955904421038,0.6666763404774041,93,72,53,112,0.6212121212121212,0.6086956521739131,0.6787878787878788
